Timestamp,Street,Event,Details
2025-10-12T18:53:26.295330,,Geocode Success,"10 Fencotie Place, Northpark, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:26.496632,,Geocode Success,"LINZ: 10 Fencotie Place, Northpark, Auckland → -36.92733825, 174.9133632"
2025-10-12T18:53:26.778642,,Geocode Success,"4 Glassonby Road, Northpark, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:27.044397,,Geocode Success,"LINZ: 4 Glassonby Road, Northpark, Auckland → -36.9256841, 174.9139537"
2025-10-12T18:53:27.311773,,Geocode Success,"15 Aspatria Place, Northpark, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:27.531188,,Geocode Success,"LINZ: 15 Aspatria Place, Northpark, Auckland → -36.92471437, 174.9155052"
2025-10-12T18:53:27.828850,,Geocode Success,"14 Aspatria Place, Northpark, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:28.096773,,Geocode Success,"LINZ: 14 Aspatria Place, Northpark, Auckland → -36.92480975, 174.9153328"
2025-10-12T18:53:28.406419,,Geocode Success,"12 Anthony Place, Pakuranga, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:28.686657,,Geocode Success,"LINZ: 12 Anthony Place, Pakuranga, Auckland → -36.91422155, 174.8677362"
2025-10-12T18:53:29.478077,,LINZ Miss,"2 Anthony Place, Pakuranga, Auckland → not found in LINZ sources (Auckland-gated)"
2025-10-12T18:53:29.587835,,Geocode Fallback,"LINZ failed for 2 Anthony Place, Pakuranga, Auckland"
2025-10-12T18:53:31.335270,,Geocode Variant Used,geocode.xyz used: Nearby-biased
2025-10-12T18:53:31.571460,,Geocode Success,"geocode.xyz: 2 Anthony Place, Pakuranga, Auckland → lat:-36.91394, lon:174.8686"
2025-10-12T18:53:31.756180,,Geocode Source,"geocode.xyz returned: ('2 Anthony Place, Pakuranga, Auckland', -36.91394, 174.8686, '') for input: 2 Anthony Place, Pakuranga, Auckland"
2025-10-12T18:53:32.163218,,Geocode Success,"42 Aviemore Drive, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:32.491024,,Geocode Success,"LINZ: 42 Aviemore Drive, Highland Park, Auckland → -36.90194977, 174.9053192"
2025-10-12T18:53:32.862186,,Geocode Success,"50 Aviemore Drive, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:33.144564,,Geocode Success,"LINZ: 50 Aviemore Drive, Highland Park, Auckland → -36.90232013, 174.9052988"
2025-10-12T18:53:33.442058,,Geocode Success,"2 Dale Crescent, Pakuranga, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:33.689698,,Geocode Success,"LINZ: 2 Dale Crescent, Pakuranga, Auckland → -36.91477022, 174.8668704"
2025-10-12T18:53:34.026706,,Geocode Success,"2 Spenbrooke Road, Flat Bush, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:34.290766,,Geocode Success,"LINZ: 2 Spenbrooke Road, Flat Bush, Auckland → -36.95182723, 174.9082965"
2025-10-12T18:53:34.566982,,Geocode Success,"160 Kohimarama Road, Kohimarama, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:34.800254,,Geocode Success,"LINZ: 160 Kohimarama Road, Kohimarama, Auckland → -36.85796797, 174.8370535"
2025-10-12T18:53:35.112178,,Geocode Success,"13 Weri Road, Karaka, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:35.357486,,Geocode Success,"LINZ: 13 Weri Road, Karaka, Auckland → -37.09908441, 174.936907"
2025-10-12T18:53:35.646782,,Geocode Success,"19 Hope Farm Avenue, Pakuranga Heights, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:35.817734,,Geocode Success,"LINZ: 19 Hope Farm Avenue, Pakuranga Heights, Auckland → -36.9125845, 174.8969052"
2025-10-12T18:53:36.079582,,Geocode Success,"39 Dalwhinnie Parade, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:36.375660,,Geocode Success,"LINZ: 39 Dalwhinnie Parade, Highland Park, Auckland → -36.90298093, 174.912626"
2025-10-12T18:53:36.653547,,Geocode Success,"39 Highland Park Drive, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:36.920762,,Geocode Success,"LINZ: 39 Highland Park Drive, Highland Park, Auckland → -36.90209405, 174.9118889"
2025-10-12T18:53:37.217613,,Geocode Success,"8 Kincraig Place, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:37.448723,,Geocode Success,"LINZ: 8 Kincraig Place, Highland Park, Auckland → -36.9037778, 174.91321"
2025-10-12T18:53:38.270929,,LINZ Miss,"12 Veagh Place, Highland Park, Auckland → not found in LINZ sources (Auckland-gated)"
2025-10-12T18:53:38.457862,,Geocode Fallback,"LINZ failed for 12 Veagh Place, Highland Park, Auckland"
2025-10-12T18:53:39.888737,,Geocode Failed,"geocode.xyz → 12 Veagh Place, Highland Park, Auckland (invalid)"
2025-10-12T18:53:40.246771,,Geocode Variant Used,Nominatim used: Nearby-biased
2025-10-12T18:53:40.418039,,Geocode Success,"Nominatim: 12 Veagh Place, Highland Park, Auckland → lat:-36.9044121, lon:174.9090551"
2025-10-12T18:53:40.604804,,Geocode Source,"Nominatim returned: ('Veagh Place, Highland Park, Auckland', -36.9044121, 174.9090551, '2143') for input: 12 Veagh Place, Highland Park, Auckland"
2025-10-12T18:53:41.563622,,LINZ Miss,"18 Veagh Place, Highland Park, Auckland → not found in LINZ sources (Auckland-gated)"
2025-10-12T18:53:41.762165,,Geocode Fallback,"LINZ failed for 18 Veagh Place, Highland Park, Auckland"
2025-10-12T18:53:43.159242,,Geocode Failed,"geocode.xyz → 18 Veagh Place, Highland Park, Auckland (invalid)"
2025-10-12T18:53:43.793440,,Geocode Variant Used,Nominatim used: Nearby-biased
2025-10-12T18:53:44.022198,,Geocode Success,"Nominatim: 18 Veagh Place, Highland Park, Auckland → lat:-36.9046617, lon:174.9091933"
2025-10-12T18:53:44.207588,,Geocode Source,"Nominatim returned: ('Veagh Place, Highland Park, Auckland', -36.9046617, 174.9091933, '2143') for input: 18 Veagh Place, Highland Park, Auckland"
2025-10-12T18:53:44.699419,,Geocode Success,"29 Dalwhinnie Parade, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:44.929441,,Geocode Success,"LINZ: 29 Dalwhinnie Parade, Highland Park, Auckland → -36.9020446, 174.9146806"
2025-10-12T18:53:45.676548,,LINZ Miss,"60 Highland Park Drive, Highland Park, Auckland → not found in LINZ sources (Auckland-gated)"
2025-10-12T18:53:45.895901,,Geocode Fallback,"LINZ failed for 60 Highland Park Drive, Highland Park, Auckland"
2025-10-12T18:53:47.998448,,Geocode Variant Used,geocode.xyz used: Nearby-biased
2025-10-12T18:53:48.173221,,Geocode Success,"geocode.xyz: 60 Highland Park Drive, Highland Park, Auckland → lat:-36.90222, lon:174.91298"
2025-10-12T18:53:48.343117,,Geocode Source,"geocode.xyz returned: ('60 Highland Park Drive, Highland Park, Auckland', -36.90222, 174.91298, '') for input: 60 Highland Park Drive, Highland Park, Auckland"
2025-10-12T18:53:48.776220,,Geocode Success,"92 Vale Road, Saint Heliers, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:49.055605,,Geocode Success,"LINZ: 92 Vale Road, Saint Heliers, Auckland → -36.85422133, 174.8667624"
2025-10-12T18:53:49.414340,,Geocode Success,"101 Aviemore Drive, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:49.648673,,Geocode Success,"LINZ: 101 Aviemore Drive, Highland Park, Auckland → -36.90688755, 174.9052152"
2025-10-12T18:53:49.898603,,Geocode Success,"89 Aviemore Drive, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:50.068445,,Geocode Success,"LINZ: 89 Aviemore Drive, Highland Park, Auckland → -36.9061917, 174.9049633"
2025-10-12T18:53:50.393733,,Geocode Success,"59 Aviemore Drive, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:50.640971,,Geocode Success,"LINZ: 59 Aviemore Drive, Highland Park, Auckland → -36.90421287, 174.9047538"
2025-10-12T18:53:50.952063,,Geocode Success,"21 Belgate Place, Somerville, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:51.155544,,Geocode Success,"LINZ: 21 Belgate Place, Somerville, Auckland → -36.91113792, 174.927218"
2025-10-12T18:53:51.421340,,Geocode Success,"23 Palmcrest Grove, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:51.685614,,Geocode Success,"LINZ: 23 Palmcrest Grove, Highland Park, Auckland → -36.90239785, 174.9061027"
2025-10-12T18:53:51.981603,,Geocode Success,"702 Pakuranga Road, Howick, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:52.168534,,Geocode Success,"LINZ: 702 Pakuranga Road, Howick, Auckland → -36.89882635, 174.9178044"
2025-10-12T18:53:52.419011,,Geocode Success,"68 Alicia Road, Somerville, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:52.668549,,Geocode Success,"LINZ: 68 Alicia Road, Somerville, Auckland → -36.91069488, 174.9379552"
2025-10-12T18:53:52.992046,,Geocode Success,"44 Edendale Road, Somerville, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:53.225279,,Geocode Success,"LINZ: 44 Edendale Road, Somerville, Auckland → -36.91150113, 174.9290791"
2025-10-12T18:53:53.520930,,Geocode Success,"46 Edendale Road, Somerville, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:53.720426,,Geocode Success,"LINZ: 46 Edendale Road, Somerville, Auckland → -36.91126932, 174.9289384"
2025-10-12T18:53:54.030270,,Geocode Success,"2 Belgate Place, Somerville, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:54.307430,,Geocode Success,"LINZ: 2 Belgate Place, Somerville, Auckland → -36.91072098, 174.9286089"
2025-10-12T18:53:54.615340,,Geocode Success,"72 Edendale Road, Somerville, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:54.801603,,Geocode Success,"LINZ: 72 Edendale Road, Somerville, Auckland → -36.90867618, 174.9305152"
2025-10-12T18:53:55.123348,,Geocode Success,"53 O'Halloran Road, Howick, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:55.371266,,Geocode Success,"LINZ: 53 O'Halloran Road, Howick, Auckland → -36.8957141, 174.9206852"
2025-10-12T18:53:55.648085,,Geocode Success,"172 Botany Road, Botany Downs, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:55.867051,,Geocode Success,"LINZ: 172 Botany Road, Botany Downs, Auckland → -36.91408478, 174.9161726"
2025-10-12T18:53:56.211251,,Geocode Success,"178 Botany Road, Botany Downs, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:56.448048,,Geocode Success,"LINZ: 178 Botany Road, Botany Downs, Auckland → -36.91448028, 174.916341"
2025-10-12T18:53:56.711615,,Geocode Success,"20 Mirrabooka Avenue, Botany Downs, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:53:56.914202,,Geocode Success,"LINZ: 20 Mirrabooka Avenue, Botany Downs, Auckland → -36.91020433, 174.9240548"
2025-10-12T18:53:57.727831,,LINZ Miss,"9 Mirrabooka Avenue, Botany Downs, Auckland → not found in LINZ sources (Auckland-gated)"
2025-10-12T18:53:57.868858,,Geocode Fallback,"LINZ failed for 9 Mirrabooka Avenue, Botany Downs, Auckland"
2025-10-12T18:53:59.125464,,Geocode Failed,"geocode.xyz → 9 Mirrabooka Avenue, Botany Downs, Auckland (invalid)"
2025-10-12T18:53:59.579300,,Geocode Variant Used,Nominatim used: Nearby-biased
2025-10-12T18:53:59.751765,,Geocode Success,"Nominatim: 9 Mirrabooka Avenue, Botany Downs, Auckland → lat:-36.9100765, lon:174.9235701"
2025-10-12T18:53:59.891730,,Geocode Source,"Nominatim returned: ('Mirrabooka Avenue, Botany Downs, Auckland', -36.9100765, 174.9235701, '2014') for input: 9 Mirrabooka Avenue, Botany Downs, Auckland"
2025-10-12T18:54:00.316221,,Geocode Success,"14 Mirrabooka Avenue, Botany Downs, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:00.580132,,Geocode Success,"LINZ: 14 Mirrabooka Avenue, Botany Downs, Auckland → -36.91004731, 174.9242015"
2025-10-12T18:54:00.956163,,Geocode Success,"13 Bunker Rise, Golflands, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:01.237752,,Geocode Success,"LINZ: 13 Bunker Rise, Golflands, Auckland → -36.92868663, 174.9078328"
2025-10-12T18:54:01.643562,,Geocode Success,"4 Bunker Rise, Golflands, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:01.922141,,Geocode Success,"LINZ: 4 Bunker Rise, Golflands, Auckland → -36.9289267, 174.9081434"
2025-10-12T18:54:02.363367,,Geocode Success,"2 Nagle Place, Golflands, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:02.637275,,Geocode Success,"LINZ: 2 Nagle Place, Golflands, Auckland → -36.92879458, 174.9087673"
2025-10-12T18:54:02.931809,,Geocode Success,"22 Carriage Close, Northpark, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:03.210873,,Geocode Success,"LINZ: 22 Carriage Close, Northpark, Auckland → -36.91582802, 174.9226905"
2025-10-12T18:54:03.564257,,Geocode Success,"14 Els Close, Golflands, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:03.809309,,Geocode Success,"LINZ: 14 Els Close, Golflands, Auckland → -36.92824297, 174.9080115"
2025-10-12T18:54:04.115117,,Geocode Success,"4 Crescent Hills Court, Northpark, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:04.375595,,Geocode Success,"LINZ: 4 Crescent Hills Court, Northpark, Auckland → -36.91851152, 174.9254718"
2025-10-12T18:54:04.615172,,Geocode Success,"18 Royalle Mews, Botany Downs, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:04.738427,,Geocode Success,"LINZ: 18 Royalle Mews, Botany Downs, Auckland → -36.90948742, 174.917709"
2025-10-12T18:54:04.968316,,Geocode Success,"5 Kallaroo Place, Botany Downs, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:05.138308,,Geocode Success,"LINZ: 5 Kallaroo Place, Botany Downs, Auckland → -36.91326345, 174.9207951"
2025-10-12T18:54:05.321395,,Geocode Success,"8 The Green, Golflands, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:05.450782,,Geocode Success,"LINZ: 8 The Green, Golflands, Auckland → -36.91978077, 174.9069734"
2025-10-12T18:54:05.603385,,Geocode Success,"11 Nypa Way, Somerville, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:05.695914,,Geocode Success,"LINZ: 11 Nypa Way, Somerville, Auckland → -36.90792988, 174.9323795"
2025-10-12T18:54:05.868807,,Geocode Success,"72 Drake Street, Howick, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:06.044707,,Geocode Success,"LINZ: 72 Drake Street, Howick, Auckland → -36.89964167, 174.9298111"
2025-10-12T18:54:06.401523,,Geocode Success,"64 Drake Street, Howick, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:06.614282,,Geocode Success,"LINZ: 64 Drake Street, Howick, Auckland → -36.89970628, 174.9306199"
2025-10-12T18:54:07.002298,,Geocode Success,"42 Drake Street, Howick, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:07.237866,,Geocode Success,"LINZ: 42 Drake Street, Howick, Auckland → -36.90012817, 174.9321474"
2025-10-12T18:54:07.596616,,Geocode Success,"40 Drake Street, Howick, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:07.829956,,Geocode Success,"LINZ: 40 Drake Street, Howick, Auckland → -36.90022498, 174.932335"
2025-10-12T18:54:08.513553,,LINZ Miss,"55 Drake Street, Howick, Auckland → not found in LINZ sources (Auckland-gated)"
2025-10-12T18:54:08.668588,,Geocode Fallback,"LINZ failed for 55 Drake Street, Howick, Auckland"
2025-10-12T18:54:09.945409,,Geocode Failed,"geocode.xyz → 55 Drake Street, Howick, Auckland (invalid)"
2025-10-12T18:54:10.508560,,Geocode Variant Used,Nominatim used: Nearby-biased
2025-10-12T18:54:10.741029,,Geocode Success,"Nominatim: 55 Drake Street, Howick, Auckland → lat:-36.8994521, lon:174.9310961"
2025-10-12T18:54:10.958309,,Geocode Source,"Nominatim returned: ('Drake Street, Howick, Auckland', -36.8994521, 174.9310961, '2014') for input: 55 Drake Street, Howick, Auckland"
2025-10-12T18:54:11.785243,,LINZ Miss,"57 Drake Street, Howick, Auckland → not found in LINZ sources (Auckland-gated)"
2025-10-12T18:54:11.942530,,Geocode Fallback,"LINZ failed for 57 Drake Street, Howick, Auckland"
2025-10-12T18:54:13.170921,,Geocode Failed,"geocode.xyz → 57 Drake Street, Howick, Auckland (invalid)"
2025-10-12T18:54:14.159169,,Geocode Variant Used,Photon used: Nearby-biased
2025-10-12T18:54:14.340222,,Geocode Success,"Photon: 57 Drake Street, Howick, Auckland → lat:-36.8994392, lon:174.9309179"
2025-10-12T18:54:14.509870,,Geocode Source,"Photon returned: ('Drake Street, Howick, Auckland', -36.8994392, 174.9309179, '') for input: 57 Drake Street, Howick, Auckland"
2025-10-12T18:54:14.908072,,Geocode Success,"23 Baird Street, Howick, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:15.136786,,Geocode Success,"LINZ: 23 Baird Street, Howick, Auckland → -36.90048198, 174.9309772"
2025-10-12T18:54:15.451837,,Geocode Success,"1 Stockade View Lane, Howick, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:15.671075,,Geocode Success,"LINZ: 1 Stockade View Lane, Howick, Auckland → -36.8978012, 174.9317788"
2025-10-12T18:54:16.044166,,Geocode Success,"3 Athenry Place, Dannemora, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:16.245401,,Geocode Success,"LINZ: 3 Athenry Place, Dannemora, Auckland → -36.92921805, 174.9218251"
2025-10-12T18:54:16.572122,,Geocode Success,"27 Athenry Place, Dannemora, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:16.821680,,Geocode Success,"LINZ: 27 Athenry Place, Dannemora, Auckland → -36.9303555, 174.9202783"
2025-10-12T18:54:17.069171,,Geocode Success,"21 Athenry Place, Dannemora, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:17.288664,,Geocode Success,"LINZ: 21 Athenry Place, Dannemora, Auckland → -36.92987067, 174.9207648"
2025-10-12T18:54:17.677875,,Geocode Success,"10 Balbriggan Rise, Dannemora, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:17.923259,,Geocode Success,"LINZ: 10 Balbriggan Rise, Dannemora, Auckland → -36.93027865, 174.9229539"
2025-10-12T18:54:18.066968,,Geocode Success,"3 Balbriggan Rise, Dannemora, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:18.171530,,Geocode Success,"LINZ: 3 Balbriggan Rise, Dannemora, Auckland → -36.93078775, 174.9228258"
2025-10-12T18:54:18.591065,,Geocode Success,"42 Keppoch Court, Dannemora, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:18.808725,,Geocode Success,"LINZ: 42 Keppoch Court, Dannemora, Auckland → -36.92766952, 174.9192487"
2025-10-12T18:54:19.039985,,Geocode Success,"30 Botany Road, Howick, Auckland → matched in LINZ_SQLITE"
2025-10-12T18:54:19.165010,,Geocode Success,"LINZ: 30 Botany Road, Howick, Auckland → -36.90142063, 174.9188992"
2025-10-12T19:04:32.180221,,Session Start,Script started and corrections_log.csv initialized.
2025-10-12T19:04:32.182269,,Session Start,Script started and corrections_log.csv initialized.
2025-10-12T19:04:59.234642,,Geocode Success,"7 Sheffield Place, Botany Downs, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:04:59.466734,,Geocode Success,"LINZ: 7 Sheffield Place, Botany Downs, Auckland → -36.9076804, 174.9174203"
2025-10-12T19:04:59.855642,,Geocode Success,"65 Aviemore Drive, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:00.120624,,Geocode Success,"LINZ: 65 Aviemore Drive, Highland Park, Auckland → -36.90476862, 174.9047863"
2025-10-12T19:05:00.417603,,Geocode Success,"58 Tarnica Road, Northpark, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:00.697340,,Geocode Success,"LINZ: 58 Tarnica Road, Northpark, Auckland → -36.92629249, 174.9144777"
2025-10-12T19:05:01.008823,,Geocode Success,"10 Fencotie Place, Northpark, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:01.243777,,Geocode Success,"LINZ: 10 Fencotie Place, Northpark, Auckland → -36.92733825, 174.9133632"
2025-10-12T19:05:01.602210,,Geocode Success,"4 Glassonby Road, Northpark, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:01.837537,,Geocode Success,"LINZ: 4 Glassonby Road, Northpark, Auckland → -36.9256841, 174.9139537"
2025-10-12T19:05:02.102288,,Geocode Success,"15 Aspatria Place, Northpark, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:02.352108,,Geocode Success,"LINZ: 15 Aspatria Place, Northpark, Auckland → -36.92471437, 174.9155052"
2025-10-12T19:05:02.712160,,Geocode Success,"14 Aspatria Place, Northpark, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:02.977292,,Geocode Success,"LINZ: 14 Aspatria Place, Northpark, Auckland → -36.92480975, 174.9153328"
2025-10-12T19:05:03.210184,,Geocode Success,"12 Anthony Place, Pakuranga, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:03.521537,,Geocode Success,"LINZ: 12 Anthony Place, Pakuranga, Auckland → -36.91422155, 174.8677362"
2025-10-12T19:05:04.296868,,LINZ Miss,"2 Anthony Place, Pakuranga, Auckland → not found in LINZ sources (Auckland-gated)"
2025-10-12T19:05:04.469151,,Geocode Fallback,"LINZ failed for 2 Anthony Place, Pakuranga, Auckland"
2025-10-12T19:05:05.797042,,Geocode Failed,"geocode.xyz → 2 Anthony Place, Pakuranga, Auckland (invalid)"
2025-10-12T19:05:06.048219,,Geocode Variant Used,Nominatim used: Nearby-biased
2025-10-12T19:05:06.173365,,Geocode Success,"Nominatim: 2 Anthony Place, Pakuranga, Auckland → lat:-36.9141854, lon:174.8684727"
2025-10-12T19:05:06.345750,,Geocode Source,"Nominatim returned: ('Anthony Place, Pakūranga, Auckland', -36.9141854, 174.8684727, '2010') for input: 2 Anthony Place, Pakuranga, Auckland"
2025-10-12T19:05:06.689719,,Geocode Success,"42 Aviemore Drive, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:06.972292,,Geocode Success,"LINZ: 42 Aviemore Drive, Highland Park, Auckland → -36.90194977, 174.9053192"
2025-10-12T19:05:07.235608,,Geocode Success,"50 Aviemore Drive, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:07.453514,,Geocode Success,"LINZ: 50 Aviemore Drive, Highland Park, Auckland → -36.90232013, 174.9052988"
2025-10-12T19:05:07.799436,,Geocode Success,"2 Dale Crescent, Pakuranga, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:08.003762,,Geocode Success,"LINZ: 2 Dale Crescent, Pakuranga, Auckland → -36.91477022, 174.8668704"
2025-10-12T19:05:08.315137,,Geocode Success,"2 Spenbrooke Road, Flat Bush, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:08.580817,,Geocode Success,"LINZ: 2 Spenbrooke Road, Flat Bush, Auckland → -36.95182723, 174.9082965"
2025-10-12T19:05:08.974171,,Geocode Success,"160 Kohimarama Road, Kohimarama, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:09.238998,,Geocode Success,"LINZ: 160 Kohimarama Road, Kohimarama, Auckland → -36.85796797, 174.8370535"
2025-10-12T19:05:09.485489,,Geocode Success,"13 Weri Road, Karaka, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:09.736200,,Geocode Success,"LINZ: 13 Weri Road, Karaka, Auckland → -37.09908441, 174.936907"
2025-10-12T19:05:10.085176,,Geocode Success,"19 Hope Farm Avenue, Pakuranga Heights, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:10.293281,,Geocode Success,"LINZ: 19 Hope Farm Avenue, Pakuranga Heights, Auckland → -36.9125845, 174.8969052"
2025-10-12T19:05:10.574484,,Geocode Success,"39 Dalwhinnie Parade, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:10.854762,,Geocode Success,"LINZ: 39 Dalwhinnie Parade, Highland Park, Auckland → -36.90298093, 174.912626"
2025-10-12T19:05:11.120248,,Geocode Success,"39 Highland Park Drive, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:11.337554,,Geocode Success,"LINZ: 39 Highland Park Drive, Highland Park, Auckland → -36.90209405, 174.9118889"
2025-10-12T19:05:11.693692,,Geocode Success,"8 Kincraig Place, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:11.925712,,Geocode Success,"LINZ: 8 Kincraig Place, Highland Park, Auckland → -36.9037778, 174.91321"
2025-10-12T19:05:12.719894,,LINZ Miss,"12 Veagh Place, Highland Park, Auckland → not found in LINZ sources (Auckland-gated)"
2025-10-12T19:05:12.893626,,Geocode Fallback,"LINZ failed for 12 Veagh Place, Highland Park, Auckland"
2025-10-12T19:05:14.423714,,Geocode Variant Used,Nominatim used: Nearby-biased
2025-10-12T19:05:14.564204,,Geocode Success,"Nominatim: 12 Veagh Place, Highland Park, Auckland → lat:-36.9044121, lon:174.9090551"
2025-10-12T19:05:14.689912,,Geocode Source,"Nominatim returned: ('Veagh Place, Highland Park, Auckland', -36.9044121, 174.9090551, '2143') for input: 12 Veagh Place, Highland Park, Auckland"
2025-10-12T19:05:15.391524,,LINZ Miss,"18 Veagh Place, Highland Park, Auckland → not found in LINZ sources (Auckland-gated)"
2025-10-12T19:05:15.561090,,Geocode Fallback,"LINZ failed for 18 Veagh Place, Highland Park, Auckland"
2025-10-12T19:05:17.087843,,Geocode Variant Used,Nominatim used: Nearby-biased
2025-10-12T19:05:17.257809,,Geocode Success,"Nominatim: 18 Veagh Place, Highland Park, Auckland → lat:-36.9046617, lon:174.9091933"
2025-10-12T19:05:17.414152,,Geocode Source,"Nominatim returned: ('Veagh Place, Highland Park, Auckland', -36.9046617, 174.9091933, '2143') for input: 18 Veagh Place, Highland Park, Auckland"
2025-10-12T19:05:17.726783,,Geocode Success,"29 Dalwhinnie Parade, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:17.947558,,Geocode Success,"LINZ: 29 Dalwhinnie Parade, Highland Park, Auckland → -36.9020446, 174.9146806"
2025-10-12T19:05:18.699606,,LINZ Miss,"60 Highland Park Drive, Highland Park, Auckland → not found in LINZ sources (Auckland-gated)"
2025-10-12T19:05:18.919225,,Geocode Fallback,"LINZ failed for 60 Highland Park Drive, Highland Park, Auckland"
2025-10-12T19:05:21.158783,,Geocode Variant Used,geocode.xyz used: Nearby-biased
2025-10-12T19:05:21.377621,,Geocode Success,"geocode.xyz: 60 Highland Park Drive, Highland Park, Auckland → lat:-36.90222, lon:174.91298"
2025-10-12T19:05:21.565533,,Geocode Source,"geocode.xyz returned: ('60 Highland Park Drive, Highland Park, Auckland', -36.90222, 174.91298, '') for input: 60 Highland Park Drive, Highland Park, Auckland"
2025-10-12T19:05:22.099369,,Geocode Success,"92 Vale Road, Saint Heliers, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:22.317812,,Geocode Success,"LINZ: 92 Vale Road, Saint Heliers, Auckland → -36.85422133, 174.8667624"
2025-10-12T19:05:22.659925,,Geocode Success,"101 Aviemore Drive, Highland Park, Auckland → matched in LINZ_SQLITE"
2025-10-12T19:05:22.906671,,Geocode Success,"LINZ: 101 Aviemore Drive, Highland Park, Auckland → -36.90688755, 174.9052152"
